("port 1","mode 1",1,"port 1",1,"transmission")
(101, 3)
1.9224191369250000e+14 2.6814747321705635e-04 6.1608426036831820e-01
1.9236682721666666e+14 2.7033681897528720e-04 6.3109792348393512e-01
1.9249174074083334e+14 2.7303086521079462e-04 6.4326561937987181e-01
1.9261665426500000e+14 2.7511154864849684e-04 6.5538143009431604e-01
1.9274156778916666e+14 2.7663082600549923e-04 6.6727866290436089e-01
1.9286648131333334e+14 2.7764405820551150e-04 6.7883185380756006e-01
1.9299139483750000e+14 2.7820783029764584e-04 6.8995359022983815e-01
1.9311630836166666e+14 2.7837788540462311e-04 7.0059148344670086e-01
1.9324122188583331e+14 2.7820721389271445e-04 7.1072500081564438e-01
1.9336613541000000e+14 2.7774434768269623e-04 7.2036192880929228e-01
1.9349104893416666e+14 2.7703191381363274e-04 7.2953431461453111e-01
1.9361596245833331e+14 2.7610550025469169e-04 7.3829382278681155e-01
1.9374087598250000e+14 2.7600309146070450e-04 7.4340434750569084e-01
1.9386578950666666e+14 2.7572309401076111e-04 7.4817314039379401e-01
1.9399070303083331e+14 2.7527741579817550e-04 7.5267442791038719e-01
1.9411561655500000e+14 2.7466996661951724e-04 7.5697833279292981e-01
1.9424053007916666e+14 2.7389749558521712e-04 7.6114504517786563e-01
1.9436544360333331e+14 2.7295079137948256e-04 7.6521968822219710e-01
1.9449035712750000e+14 2.7181617866043744e-04 7.6922809804537740e-01
1.9461527065166666e+14 2.7047723134297850e-04 7.7317366853524450e-01
1.9474018417583331e+14 2.6891661733021891e-04 7.7703533807281999e-01
1.9486509770000000e+14 2.6711798895808766e-04 7.8076673086658954e-01
1.9499001122416666e+14 2.6600303212813940e-04 7.8087198450984985e-01
1.9511492474833331e+14 2.6462565463492764e-04 7.8061862805680804e-01
1.9523983827250000e+14 2.6298430026103014e-04 7.7988318258418965e-01
1.9536475179666666e+14 2.6108541784729202e-04 7.7852580017210593e-01
1.9548966532083331e+14 2.5894457826664235e-04 7.7639553094633273e-01
1.9561457884500000e+14 2.5658722897298989e-04 7.7333676131244100e-01
1.9573949236916666e+14 2.5404903355450277e-04 7.6919688744330461e-01
1.9586440589333331e+14 2.5137574411390989e-04 7.6383526338365637e-01
1.9598931941750000e+14 2.4862255576523379e-04 7.5713338126417917e-01
1.9611423294166666e+14 2.4585289799999453e-04 7.4900608091158338e-01
1.9623914646583331e+14 2.4407106053042304e-04 7.3600068814240105e-01
1.9636405999000000e+14 2.4243812198587486e-04 7.2158292390770473e-01
1.9648897351416666e+14 2.4103182014618263e-04 7.0586423025951139e-01
1.9661388703833331e+14 2.3992676010332523e-04 6.8903322098225195e-01
1.9673880056250000e+14 2.3919040944339975e-04 6.7135621650812249e-01
1.9686371408666666e+14 2.3887911420251848e-04 6.5317138803204833e-01
1.9698862761083331e+14 2.3903448028676942e-04 6.3487601609465394e-01
1.9711354113500000e+14 2.3968047676213409e-04 6.1690742128580089e-01
1.9723845465916666e+14 2.4082156954973932e-04 5.9971927012175741e-01
1.9736336818333331e+14 2.4244208689042199e-04 5.8375588258533828e-01
1.9748828170750000e+14 2.4552353927005021e-04 5.6683498643638386e-01
1.9761319523166666e+14 2.4901413778518391e-04 5.5207559243828908e-01
1.9773810875583331e+14 2.5284137407856415e-04 5.3973930311419582e-01
1.9786302228000000e+14 2.5692111245927829e-04 5.3000270150947826e-01
1.9798793580416666e+14 2.6116147325985409e-04 5.2295817381668386e-01
1.9811284932833331e+14 2.6546664901702747e-04 5.1861995161961083e-01
1.9823776285250000e+14 2.6974042707734379e-04 5.1693356782466082e-01
1.9836267637666666e+14 2.7388927856822077e-04 5.1778700229133656e-01
1.9848758990083331e+14 2.7782494992410783e-04 5.2102212002011838e-01
1.9861250342500000e+14 2.8146655099393246e-04 5.2644542616794965e-01
1.9873741694916666e+14 2.8573729963070284e-04 5.3182075756975222e-01
1.9886233047333331e+14 2.8957173400330532e-04 5.3891645879566541e-01
1.9898724399750000e+14 2.9291633631211021e-04 5.4745983204505655e-01
1.9911215752166666e+14 2.9572959525261884e-04 5.5717547384275168e-01
1.9923707104583331e+14 2.9798231479117790e-04 5.6778917790645511e-01
1.9936198457000000e+14 2.9965771150757990e-04 5.7903099372312750e-01
1.9948689809416666e+14 3.0075132561025743e-04 5.9063775187760226e-01
1.9961181161833331e+14 3.0127075966839890e-04 6.0235533643150563e-01
1.9973672514250000e+14 3.0123524919124897e-04 6.1394094800633647e-01
1.9986163866666666e+14 3.0067506049137773e-04 6.2516556148697289e-01
("port 1","mode 1",1,"port 2",1,"transmission")
(101, 3)
1.8737028625000000e+14 2.8045483881729993e-04 2.5684718742625616e+00
1.8749519977416666e+14 2.7756508353039068e-04 2.7268338543305899e+00
1.8762011329833334e+14 2.7449180530604290e-04 2.8845034140066748e+00
1.8774502682250000e+14 2.7123957458808490e-04 3.0414669675165085e+00
1.8786994034666666e+14 2.6781444032785286e-04 3.1977133538195419e+00
1.8799485387083334e+14 2.6422398361557826e-04 3.3532336243986531e+00
1.8811976739500000e+14 2.6047734278900183e-04 3.5080208414130505e+00
1.8824468091916666e+14 2.5658521007663587e-04 3.6620698946093642e+00
1.8836959444333334e+14 2.5255980032492988e-04 3.8153773450015209e+00
1.8849450796750000e+14 2.4841479278978789e-04 3.9679413029101123e+00
1.8861942149166666e+14 2.4416524734253194e-04 4.1197613474925490e+00
1.8874433501583334e+14 2.3984073931479263e-04 4.2708673998731372e+00
1.8886924854000000e+14 2.3544698847967677e-04 4.4212213221479049e+00
1.8899416206416666e+14 2.3100191207169103e-04 4.5708256306214086e+00
1.8911907558833334e+14 2.2652423829157311e-04 4.7196847673576334e+00
1.8924398911250000e+14 2.2203333682511986e-04 4.8678053385094264e+00
1.8936890263666666e+14 2.1754903589858414e-04 5.0151964170441836e+00
1.8949381616083334e+14 2.1309142818316625e-04 5.1618699072686498e+00
1.8961872968500000e+14 2.0868066794852544e-04 5.3078409650584346e+00
1.8974364320916666e+14 2.0433676195044542e-04 5.4531284634746591e+00
1.8986855673333334e+14 2.0007935662728481e-04 5.5977554885714351e+00
1.8999347025750000e+14 1.9593953331506229e-04 5.7417085400769468e+00
1.9011838378166666e+14 1.9192169182115284e-04 5.8850475416098655e+00
1.9024329730583334e+14 1.8804276163370700e-04 6.0278120757421121e+00
1.9036821083000000e+14 1.8431853254603997e-04 6.1700481068419588e+00
1.9049312435416666e+14 1.8076346875356365e-04 6.3118082116032435e+00
1.9061803787833334e+14 1.7739053592249617e-04 6.4531516404365528e+00
1.9074295140250000e+14 1.7421104460860735e-04 6.5941441729893153e+00
1.9086786492666666e+14 1.7123451333299548e-04 6.7348577379655712e+00
1.9099277845083334e+14 1.6846855440872069e-04 6.8753697783779284e+00
1.9111769197500000e+14 1.6591878523132257e-04 7.0157623581083168e+00
1.9124260549916666e+14 1.6358779342067216e-04 7.1560357753729553e+00
1.9136751902333334e+14 1.6147512969502692e-04 7.2963621702421992e+00
1.9149243254750000e+14 1.5958023888875691e-04 7.4368327599497395e+00
